,일시,최저기온,최고기온,날씨
0,2020-07-23 00:00,22,26,흐리고 비
1,2020-07-23 12:00,22,26,흐리고 비
2,2020-07-24 00:00,22,28,흐리고 비
3,2020-07-24 12:00,22,28,흐리고 비
4,2020-07-25 00:00,22,28,흐림
5,2020-07-25 12:00,22,28,흐림
6,2020-07-26 00:00,22,30,흐림
7,2020-07-26 12:00,22,30,흐림
8,2020-07-27 00:00,22,29,흐림
9,2020-07-27 12:00,22,29,흐리고 비
10,2020-07-28 00:00,23,28,흐리고 비
11,2020-07-29 00:00,24,28,흐리고 비
12,2020-07-30 00:00,24,29,흐리고 비
13,2020-07-23 00:00,22,26,흐리고 비
14,2020-07-23 12:00,22,26,흐리고 비
15,2020-07-24 00:00,22,27,흐리고 비
16,2020-07-24 12:00,22,27,흐리고 비
17,2020-07-25 00:00,21,27,흐림
18,2020-07-25 12:00,21,27,흐림
19,2020-07-26 00:00,22,27,흐림
20,2020-07-26 12:00,22,27,흐림
21,2020-07-27 00:00,22,27,흐림
22,2020-07-27 12:00,22,27,흐리고 비
23,2020-07-28 00:00,23,27,흐리고 비
24,2020-07-29 00:00,23,27,흐리고 비
25,2020-07-30 00:00,23,27,흐리고 비
26,2020-07-23 00:00,22,26,흐리고 비
27,2020-07-23 12:00,22,26,흐리고 비
28,2020-07-24 00:00,22,28,흐리고 비
29,2020-07-24 12:00,22,28,흐리고 비
30,2020-07-25 00:00,22,29,흐림
31,2020-07-25 12:00,22,29,흐림
32,2020-07-26 00:00,22,30,흐림
33,2020-07-26 12:00,22,30,흐림
34,2020-07-27 00:00,22,29,흐림
35,2020-07-27 12:00,22,29,흐리고 비
36,2020-07-28 00:00,23,29,흐리고 비
37,2020-07-29 00:00,24,29,흐리고 비
38,2020-07-30 00:00,23,30,흐리고 비
39,2020-07-23 00:00,21,26,흐리고 비
40,2020-07-23 12:00,21,26,흐리고 비
41,2020-07-24 00:00,21,28,흐리고 비
42,2020-07-24 12:00,21,28,흐리고 비
43,2020-07-25 00:00,20,29,흐림
44,2020-07-25 12:00,20,29,흐림
45,2020-07-26 00:00,20,28,흐림
46,2020-07-26 12:00,20,28,흐림
47,2020-07-27 00:00,21,28,흐림
48,2020-07-27 12:00,21,28,흐리고 비
49,2020-07-28 00:00,22,29,흐리고 비
50,2020-07-29 00:00,23,28,흐리고 비
51,2020-07-30 00:00,23,29,흐리고 비
52,2020-07-23 00:00,21,26,흐리고 비
53,2020-07-23 12:00,21,26,흐리고 비
54,2020-07-24 00:00,21,28,흐리고 비
55,2020-07-24 12:00,21,28,흐리고 비
56,2020-07-25 00:00,20,28,흐림
57,2020-07-25 12:00,20,28,흐림
58,2020-07-26 00:00,20,29,흐림
59,2020-07-26 12:00,20,29,흐림
60,2020-07-27 00:00,21,28,흐림
61,2020-07-27 12:00,21,28,흐리고 비
62,2020-07-28 00:00,22,28,흐리고 비
63,2020-07-29 00:00,22,29,흐리고 비
64,2020-07-30 00:00,22,30,흐리고 비
65,2020-07-23 00:00,21,27,흐리고 비
66,2020-07-23 12:00,21,27,흐리고 비
67,2020-07-24 00:00,22,29,흐리고 비
68,2020-07-24 12:00,22,29,흐리고 비
69,2020-07-25 00:00,21,30,흐림
70,2020-07-25 12:00,21,30,흐림
71,2020-07-26 00:00,22,29,흐림
72,2020-07-26 12:00,22,29,흐림
73,2020-07-27 00:00,22,29,흐림
74,2020-07-27 12:00,22,29,흐리고 비
75,2020-07-28 00:00,23,29,흐리고 비
76,2020-07-29 00:00,24,29,흐리고 비
77,2020-07-30 00:00,24,30,흐리고 비
78,2020-07-23 00:00,22,27,흐리고 비
79,2020-07-23 12:00,22,27,흐리고 비
80,2020-07-24 00:00,21,29,흐리고 비
81,2020-07-24 12:00,21,29,흐리고 비
82,2020-07-25 00:00,22,28,흐림
83,2020-07-25 12:00,22,28,흐림
84,2020-07-26 00:00,21,28,흐림
85,2020-07-26 12:00,21,28,흐림
86,2020-07-27 00:00,22,29,흐림
87,2020-07-27 12:00,22,29,흐리고 비
88,2020-07-28 00:00,21,29,흐리고 비
89,2020-07-29 00:00,22,29,흐리고 비
90,2020-07-30 00:00,23,30,흐리고 비
91,2020-07-23 00:00,21,27,흐리고 비
92,2020-07-23 12:00,21,27,흐리고 비
93,2020-07-24 00:00,21,28,흐리고 비
94,2020-07-24 12:00,21,28,흐리고 비
95,2020-07-25 00:00,22,29,흐림
96,2020-07-25 12:00,22,29,흐림
97,2020-07-26 00:00,21,29,흐림
98,2020-07-26 12:00,21,29,흐림
99,2020-07-27 00:00,22,29,흐림
100,2020-07-27 12:00,22,29,흐리고 비
101,2020-07-28 00:00,22,29,흐리고 비
102,2020-07-29 00:00,23,29,흐리고 비
103,2020-07-30 00:00,24,30,흐리고 비
104,2020-07-23 00:00,21,27,흐리고 비
105,2020-07-23 12:00,21,27,흐리고 비
106,2020-07-24 00:00,21,26,흐리고 비
107,2020-07-24 12:00,21,26,흐리고 비
108,2020-07-25 00:00,20,25,흐리고 비
109,2020-07-25 12:00,20,25,흐리고 비
110,2020-07-26 00:00,21,27,흐림
111,2020-07-26 12:00,21,27,흐림
112,2020-07-27 00:00,21,27,흐림
113,2020-07-27 12:00,21,27,흐리고 비
114,2020-07-28 00:00,22,27,흐리고 비
115,2020-07-29 00:00,22,28,흐리고 비
116,2020-07-30 00:00,23,29,흐림
117,2020-07-23 00:00,22,26,흐리고 비
118,2020-07-23 12:00,22,26,흐리고 비
119,2020-07-24 00:00,22,27,흐리고 비
120,2020-07-24 12:00,22,27,구름많고 비
121,2020-07-25 00:00,22,27,구름많음
122,2020-07-25 12:00,22,27,구름많음
123,2020-07-26 00:00,22,28,흐림
124,2020-07-26 12:00,22,28,흐림
125,2020-07-27 00:00,22,29,흐림
126,2020-07-27 12:00,22,29,흐리고 비
127,2020-07-28 00:00,23,29,흐리고 비
128,2020-07-29 00:00,23,29,흐리고 비
129,2020-07-30 00:00,24,30,흐리고 비
130,2020-07-23 00:00,22,26,흐리고 비
131,2020-07-23 12:00,22,26,흐리고 비
132,2020-07-24 00:00,22,27,흐리고 비
133,2020-07-24 12:00,22,27,구름많고 비
134,2020-07-25 00:00,21,27,구름많음
135,2020-07-25 12:00,21,27,구름많음
136,2020-07-26 00:00,21,28,흐림
137,2020-07-26 12:00,21,28,흐림
138,2020-07-27 00:00,21,29,흐림
139,2020-07-27 12:00,21,29,흐리고 비
140,2020-07-28 00:00,22,29,흐리고 비
141,2020-07-29 00:00,22,29,흐리고 비
142,2020-07-30 00:00,23,30,흐리고 비
143,2020-07-23 00:00,22,25,흐리고 비
144,2020-07-23 12:00,22,25,흐리고 비
145,2020-07-24 00:00,22,26,흐리고 비
146,2020-07-24 12:00,22,26,구름많고 비
147,2020-07-25 00:00,20,27,구름많음
148,2020-07-25 12:00,20,27,구름많음
149,2020-07-26 00:00,20,28,흐림
150,2020-07-26 12:00,20,28,흐림
151,2020-07-27 00:00,21,29,흐림
152,2020-07-27 12:00,21,29,흐리고 비
153,2020-07-28 00:00,22,28,흐리고 비
154,2020-07-29 00:00,22,28,흐리고 비
155,2020-07-30 00:00,23,30,흐리고 비
156,2020-07-23 00:00,22,26,흐리고 비
157,2020-07-23 12:00,22,26,흐리고 비
158,2020-07-24 00:00,22,28,흐리고 비
159,2020-07-24 12:00,22,28,흐리고 비
160,2020-07-25 00:00,22,28,흐림
161,2020-07-25 12:00,22,28,흐림
162,2020-07-26 00:00,22,29,흐림
163,2020-07-26 12:00,22,29,흐림
164,2020-07-27 00:00,22,30,흐림
165,2020-07-27 12:00,22,30,흐리고 비
166,2020-07-28 00:00,23,29,흐리고 비
167,2020-07-29 00:00,24,30,흐리고 비
168,2020-07-30 00:00,24,31,흐리고 비
169,2020-07-23 00:00,21,27,흐리고 비
170,2020-07-23 12:00,21,27,흐리고 비
171,2020-07-24 00:00,21,28,흐리고 비
172,2020-07-24 12:00,21,28,흐리고 비
173,2020-07-25 00:00,21,27,흐림
174,2020-07-25 12:00,21,27,흐림
175,2020-07-26 00:00,21,28,흐림
176,2020-07-26 12:00,21,28,흐림
177,2020-07-27 00:00,21,29,흐림
178,2020-07-27 12:00,21,29,흐리고 비
179,2020-07-28 00:00,22,29,흐리고 비
180,2020-07-29 00:00,22,30,흐리고 비
181,2020-07-30 00:00,23,31,흐리고 비
182,2020-07-23 00:00,21,27,흐리고 비
183,2020-07-23 12:00,21,27,흐리고 비
184,2020-07-24 00:00,21,28,흐리고 비
185,2020-07-24 12:00,21,28,흐리고 비
186,2020-07-25 00:00,20,28,흐림
187,2020-07-25 12:00,20,28,흐림
188,2020-07-26 00:00,20,29,흐림
189,2020-07-26 12:00,20,29,흐림
190,2020-07-27 00:00,20,30,흐림
191,2020-07-27 12:00,20,30,흐리고 비
192,2020-07-28 00:00,22,30,흐리고 비
193,2020-07-29 00:00,22,31,흐리고 비
194,2020-07-30 00:00,23,32,흐리고 비
195,2020-07-23 00:00,22,27,흐리고 비
196,2020-07-23 12:00,22,27,흐리고 비
197,2020-07-24 00:00,22,27,흐리고 비
198,2020-07-24 12:00,22,27,흐리고 비
199,2020-07-25 00:00,22,28,흐림
200,2020-07-25 12:00,22,28,구름많음
201,2020-07-26 00:00,22,29,구름많음
202,2020-07-26 12:00,22,29,흐림
203,2020-07-27 00:00,22,29,흐림
204,2020-07-27 12:00,22,29,흐리고 비
205,2020-07-28 00:00,23,29,흐리고 비
206,2020-07-29 00:00,24,30,흐리고 비
207,2020-07-30 00:00,24,30,흐림
208,2020-07-23 00:00,23,27,흐리고 비
209,2020-07-23 12:00,23,27,흐리고 비
210,2020-07-24 00:00,22,25,흐리고 비
211,2020-07-24 12:00,22,25,흐리고 비
212,2020-07-25 00:00,22,26,흐림
213,2020-07-25 12:00,22,26,구름많음
214,2020-07-26 00:00,22,26,구름많음
215,2020-07-26 12:00,22,26,흐림
216,2020-07-27 00:00,22,27,흐림
217,2020-07-27 12:00,22,27,흐리고 비
218,2020-07-28 00:00,23,27,흐리고 비
219,2020-07-29 00:00,23,28,흐리고 비
220,2020-07-30 00:00,23,29,흐림
221,2020-07-23 00:00,22,26,흐리고 비
222,2020-07-23 12:00,22,26,흐리고 비
223,2020-07-24 00:00,22,25,흐리고 비
224,2020-07-24 12:00,22,25,흐리고 비
225,2020-07-25 00:00,22,25,흐림
226,2020-07-25 12:00,22,25,구름많음
227,2020-07-26 00:00,22,26,구름많음
228,2020-07-26 12:00,22,26,흐림
229,2020-07-27 00:00,22,26,흐림
230,2020-07-27 12:00,22,26,흐리고 비
231,2020-07-28 00:00,23,26,흐리고 비
232,2020-07-29 00:00,23,27,흐리고 비
233,2020-07-30 00:00,23,27,흐림
234,2020-07-23 00:00,22,28,흐리고 비
235,2020-07-23 12:00,22,28,흐리고 비
236,2020-07-24 00:00,23,27,흐리고 비
237,2020-07-24 12:00,23,27,흐리고 비
238,2020-07-25 00:00,22,28,흐림
239,2020-07-25 12:00,22,28,구름많음
240,2020-07-26 00:00,22,29,구름많음
241,2020-07-26 12:00,22,29,흐림
242,2020-07-27 00:00,22,30,흐림
243,2020-07-27 12:00,22,30,흐리고 비
244,2020-07-28 00:00,23,29,흐리고 비
245,2020-07-29 00:00,23,31,흐리고 비
246,2020-07-30 00:00,24,31,흐림
247,2020-07-23 00:00,22,26,흐리고 비
248,2020-07-23 12:00,22,26,흐리고 비
249,2020-07-24 00:00,22,27,흐리고 비
250,2020-07-24 12:00,22,27,흐리고 비
251,2020-07-25 00:00,21,27,흐림
252,2020-07-25 12:00,21,27,구름많음
253,2020-07-26 00:00,21,28,구름많음
254,2020-07-26 12:00,21,28,흐림
255,2020-07-27 00:00,21,28,흐림
256,2020-07-27 12:00,21,28,흐리고 비
257,2020-07-28 00:00,23,28,흐리고 비
258,2020-07-29 00:00,22,28,흐리고 비
259,2020-07-30 00:00,23,28,흐림
260,2020-07-23 00:00,22,27,흐리고 비
261,2020-07-23 12:00,22,27,흐리고 비
262,2020-07-24 00:00,22,27,흐리고 비
263,2020-07-24 12:00,22,27,흐리고 비
264,2020-07-25 00:00,21,29,흐림
265,2020-07-25 12:00,21,29,구름많음
266,2020-07-26 00:00,21,30,구름많음
267,2020-07-26 12:00,21,30,흐림
268,2020-07-27 00:00,21,30,흐림
269,2020-07-27 12:00,21,30,흐리고 비
270,2020-07-28 00:00,23,30,흐리고 비
271,2020-07-29 00:00,22,31,흐리고 비
272,2020-07-30 00:00,23,31,흐림
273,2020-07-23 00:00,23,27,흐리고 비
274,2020-07-23 12:00,23,27,흐리고 비
275,2020-07-24 00:00,23,27,흐리고 비
276,2020-07-24 12:00,23,27,흐리고 비
277,2020-07-25 00:00,21,28,구름많음
278,2020-07-25 12:00,21,28,구름많음
279,2020-07-26 00:00,22,29,흐림
280,2020-07-26 12:00,22,29,흐림
281,2020-07-27 00:00,22,29,흐림
282,2020-07-27 12:00,22,29,흐리고 비
283,2020-07-28 00:00,23,29,흐리고 비
284,2020-07-29 00:00,24,30,흐리고 비
285,2020-07-30 00:00,24,31,흐림
286,2020-07-23 00:00,22,27,흐리고 비
287,2020-07-23 12:00,22,27,흐리고 비
288,2020-07-24 00:00,22,26,흐리고 비
289,2020-07-24 12:00,22,26,흐리고 비
290,2020-07-25 00:00,21,27,구름많음
291,2020-07-25 12:00,21,27,구름많음
292,2020-07-26 00:00,21,28,흐림
293,2020-07-26 12:00,21,28,흐림
294,2020-07-27 00:00,22,28,흐림
295,2020-07-27 12:00,22,28,흐리고 비
296,2020-07-28 00:00,22,28,흐리고 비
297,2020-07-29 00:00,23,28,흐리고 비
298,2020-07-30 00:00,23,29,흐림
299,2020-07-23 00:00,22,27,흐리고 비
300,2020-07-23 12:00,22,27,흐리고 비
301,2020-07-24 00:00,22,27,흐리고 비
302,2020-07-24 12:00,22,27,흐리고 비
303,2020-07-25 00:00,21,28,구름많음
304,2020-07-25 12:00,21,28,구름많음
305,2020-07-26 00:00,21,29,흐림
306,2020-07-26 12:00,21,29,흐림
307,2020-07-27 00:00,21,29,흐림
308,2020-07-27 12:00,21,29,흐리고 비
309,2020-07-28 00:00,23,30,흐리고 비
310,2020-07-29 00:00,23,30,흐리고 비
311,2020-07-30 00:00,24,31,흐림
312,2020-07-23 00:00,22,27,흐리고 비
313,2020-07-23 12:00,22,27,흐리고 비
314,2020-07-24 00:00,22,27,흐리고 비
315,2020-07-24 12:00,22,27,흐리고 비
316,2020-07-25 00:00,21,28,구름많음
317,2020-07-25 12:00,21,28,구름많음
318,2020-07-26 00:00,20,28,흐림
319,2020-07-26 12:00,20,28,흐림
320,2020-07-27 00:00,21,29,흐림
321,2020-07-27 12:00,21,29,흐리고 비
322,2020-07-28 00:00,22,29,흐리고 비
323,2020-07-29 00:00,22,30,흐리고 비
324,2020-07-30 00:00,23,31,흐림
325,2020-07-23 00:00,22,26,흐리고 비
326,2020-07-23 12:00,22,26,흐리고 비
327,2020-07-24 00:00,22,26,흐리고 비
328,2020-07-24 12:00,22,26,흐리고 비
329,2020-07-25 00:00,21,26,구름많음
330,2020-07-25 12:00,21,26,구름많음
331,2020-07-26 00:00,21,27,흐림
332,2020-07-26 12:00,21,27,흐림
333,2020-07-27 00:00,21,27,흐림
334,2020-07-27 12:00,21,27,흐리고 비
335,2020-07-28 00:00,22,27,흐리고 비
336,2020-07-29 00:00,22,27,흐리고 비
337,2020-07-30 00:00,23,28,흐림
338,2020-07-23 00:00,21,26,흐리고 비
339,2020-07-23 12:00,21,26,흐리고 비
340,2020-07-24 00:00,22,28,흐리고 비
341,2020-07-24 12:00,22,28,흐리고 비
342,2020-07-25 00:00,21,27,구름많음
343,2020-07-25 12:00,21,27,구름많음
344,2020-07-26 00:00,20,28,흐림
345,2020-07-26 12:00,20,28,흐림
346,2020-07-27 00:00,20,29,흐림
347,2020-07-27 12:00,20,29,흐리고 비
348,2020-07-28 00:00,22,29,흐리고 비
349,2020-07-29 00:00,22,30,흐리고 비
350,2020-07-30 00:00,23,31,흐림
351,2020-07-23 00:00,21,26,흐리고 비
352,2020-07-23 12:00,21,26,흐리고 비
353,2020-07-24 00:00,22,25,흐리고 비
354,2020-07-24 12:00,22,25,흐리고 비
355,2020-07-25 00:00,22,26,구름많음
356,2020-07-25 12:00,22,26,구름많음
357,2020-07-26 00:00,21,26,흐림
358,2020-07-26 12:00,21,26,흐림
359,2020-07-27 00:00,21,27,흐림
360,2020-07-27 12:00,21,27,흐리고 비
361,2020-07-28 00:00,22,27,흐리고 비
362,2020-07-29 00:00,22,27,흐리고 비
363,2020-07-30 00:00,23,28,흐림
364,2020-07-23 00:00,21,26,흐리고 비
365,2020-07-23 12:00,21,26,흐리고 비
366,2020-07-24 00:00,22,25,흐리고 비
367,2020-07-24 12:00,22,25,흐리고 비
368,2020-07-25 00:00,21,27,구름많음
369,2020-07-25 12:00,21,27,구름많음
370,2020-07-26 00:00,21,28,흐림
371,2020-07-26 12:00,21,28,흐림
372,2020-07-27 00:00,21,28,흐림
373,2020-07-27 12:00,21,28,흐리고 비
374,2020-07-28 00:00,22,29,흐리고 비
375,2020-07-29 00:00,22,29,흐리고 비
376,2020-07-30 00:00,23,30,흐림
377,2020-07-23 00:00,21,27,흐리고 비
378,2020-07-23 12:00,21,27,흐리고 비
379,2020-07-24 00:00,22,26,흐리고 비
380,2020-07-24 12:00,22,26,흐리고 비
381,2020-07-25 00:00,21,27,구름많음
382,2020-07-25 12:00,21,27,구름많음
383,2020-07-26 00:00,21,28,흐림
384,2020-07-26 12:00,21,28,흐림
385,2020-07-27 00:00,21,28,흐림
386,2020-07-27 12:00,21,28,흐리고 비
387,2020-07-28 00:00,22,28,흐리고 비
388,2020-07-29 00:00,22,29,흐리고 비
389,2020-07-30 00:00,23,29,흐림
390,2020-07-23 00:00,22,27,흐리고 비
391,2020-07-23 12:00,22,27,흐리고 비
392,2020-07-24 00:00,22,27,흐리고 비
393,2020-07-24 12:00,22,27,흐리고 비
394,2020-07-25 00:00,21,28,구름많음
395,2020-07-25 12:00,21,28,구름많음
396,2020-07-26 00:00,21,28,흐림
397,2020-07-26 12:00,21,28,흐림
398,2020-07-27 00:00,21,28,흐림
399,2020-07-27 12:00,21,28,흐리고 비
400,2020-07-28 00:00,22,29,흐리고 비
401,2020-07-29 00:00,22,30,흐리고 비
402,2020-07-30 00:00,23,30,흐림
403,2020-07-23 00:00,21,26,흐리고 비
404,2020-07-23 12:00,21,26,흐리고 비
405,2020-07-24 00:00,21,27,흐리고 비
406,2020-07-24 12:00,21,27,흐리고 비
407,2020-07-25 00:00,20,27,구름많음
408,2020-07-25 12:00,20,27,구름많음
409,2020-07-26 00:00,20,28,흐림
410,2020-07-26 12:00,20,28,흐림
411,2020-07-27 00:00,20,29,흐림
412,2020-07-27 12:00,20,29,흐리고 비
413,2020-07-28 00:00,21,29,흐리고 비
414,2020-07-29 00:00,22,30,흐리고 비
415,2020-07-30 00:00,23,31,흐림
416,2020-07-23 00:00,22,26,흐리고 비
417,2020-07-23 12:00,22,26,흐리고 비
418,2020-07-24 00:00,22,25,흐리고 비
419,2020-07-24 12:00,22,25,흐리고 비
420,2020-07-25 00:00,22,26,구름많음
421,2020-07-25 12:00,22,26,구름많음
422,2020-07-26 00:00,22,27,흐림
423,2020-07-26 12:00,22,27,흐림
424,2020-07-27 00:00,22,27,흐림
425,2020-07-27 12:00,22,27,흐리고 비
426,2020-07-28 00:00,23,28,흐리고 비
427,2020-07-29 00:00,22,28,흐리고 비
428,2020-07-30 00:00,22,29,흐림
429,2020-07-23 00:00,21,28,흐리고 비
430,2020-07-23 12:00,21,28,흐리고 비
431,2020-07-24 00:00,22,28,흐리고 비
432,2020-07-24 12:00,22,28,흐리고 비
433,2020-07-25 00:00,21,31,흐리고 비
434,2020-07-25 12:00,21,31,흐림
435,2020-07-26 00:00,21,31,흐림
436,2020-07-26 12:00,21,31,흐림
437,2020-07-27 00:00,21,30,흐림
438,2020-07-27 12:00,21,30,흐리고 비
439,2020-07-28 00:00,22,30,흐리고 비
440,2020-07-29 00:00,23,30,흐리고 비
441,2020-07-30 00:00,24,32,흐림
442,2020-07-23 00:00,20,27,흐리고 비
443,2020-07-23 12:00,20,27,흐리고 비
444,2020-07-24 00:00,21,27,흐리고 비
445,2020-07-24 12:00,21,27,흐리고 비
446,2020-07-25 00:00,20,29,흐리고 비
447,2020-07-25 12:00,20,29,흐림
448,2020-07-26 00:00,20,28,흐림
449,2020-07-26 12:00,20,28,흐림
450,2020-07-27 00:00,20,29,흐림
451,2020-07-27 12:00,20,29,흐리고 비
452,2020-07-28 00:00,21,29,흐리고 비
453,2020-07-29 00:00,22,29,흐리고 비
454,2020-07-30 00:00,22,30,흐림
455,2020-07-23 00:00,21,25,흐리고 비
456,2020-07-23 12:00,21,25,흐리고 비
457,2020-07-24 00:00,23,25,흐리고 비
458,2020-07-24 12:00,23,25,흐리고 비
459,2020-07-25 00:00,22,27,흐리고 비
460,2020-07-25 12:00,22,27,흐림
461,2020-07-26 00:00,21,27,흐림
462,2020-07-26 12:00,21,27,흐림
463,2020-07-27 00:00,22,27,흐림
464,2020-07-27 12:00,22,27,흐리고 비
465,2020-07-28 00:00,23,28,흐리고 비
466,2020-07-29 00:00,23,28,흐리고 비
467,2020-07-30 00:00,24,29,흐림
468,2020-07-23 00:00,21,27,흐리고 비
469,2020-07-23 12:00,21,27,흐리고 비
470,2020-07-24 00:00,21,26,흐리고 비
471,2020-07-24 12:00,21,26,흐리고 비
472,2020-07-25 00:00,20,29,흐리고 비
473,2020-07-25 12:00,20,29,흐림
474,2020-07-26 00:00,20,29,흐림
475,2020-07-26 12:00,20,29,흐림
476,2020-07-27 00:00,20,28,흐림
477,2020-07-27 12:00,20,28,흐리고 비
478,2020-07-28 00:00,21,29,흐리고 비
479,2020-07-29 00:00,21,29,흐리고 비
480,2020-07-30 00:00,22,30,흐림
481,2020-07-23 00:00,19,24,흐리고 비
482,2020-07-23 12:00,19,24,흐리고 비
483,2020-07-24 00:00,20,24,흐리고 비
484,2020-07-24 12:00,20,24,흐리고 비
485,2020-07-25 00:00,19,24,흐리고 비
486,2020-07-25 12:00,19,24,흐림
487,2020-07-26 00:00,20,25,흐림
488,2020-07-26 12:00,20,25,흐림
489,2020-07-27 00:00,20,25,흐림
490,2020-07-27 12:00,20,25,흐리고 비
491,2020-07-28 00:00,20,25,흐리고 비
492,2020-07-29 00:00,21,26,흐리고 비
493,2020-07-30 00:00,22,27,흐림
494,2020-07-23 00:00,20,23,흐리고 비
495,2020-07-23 12:00,20,23,흐리고 비
496,2020-07-24 00:00,20,22,흐리고 비
497,2020-07-24 12:00,20,22,흐리고 비
498,2020-07-25 00:00,20,22,흐리고 비
499,2020-07-25 12:00,20,22,흐림
500,2020-07-26 00:00,20,24,흐림
501,2020-07-26 12:00,20,24,흐림
502,2020-07-27 00:00,20,25,흐림
503,2020-07-27 12:00,20,25,흐리고 비
504,2020-07-28 00:00,21,25,흐리고 비
505,2020-07-29 00:00,21,25,흐리고 비
506,2020-07-30 00:00,21,26,흐림
507,2020-07-23 00:00,25,30,흐리고 비
508,2020-07-23 12:00,25,30,흐리고 비
509,2020-07-24 00:00,24,28,흐리고 비
510,2020-07-24 12:00,24,28,흐리고 비
511,2020-07-25 00:00,23,28,흐림
512,2020-07-25 12:00,23,28,흐림
513,2020-07-26 00:00,23,28,흐림
514,2020-07-26 12:00,23,28,흐림
515,2020-07-27 00:00,23,29,흐림
516,2020-07-27 12:00,23,29,흐리고 비
517,2020-07-28 00:00,25,30,흐리고 비
518,2020-07-29 00:00,25,30,흐리고 비
519,2020-07-30 00:00,25,31,흐림
520,2020-07-23 00:00,24,27,흐리고 비
521,2020-07-23 12:00,24,27,흐리고 비
522,2020-07-24 00:00,23,26,흐리고 비
523,2020-07-24 12:00,23,26,흐리고 비
524,2020-07-25 00:00,23,27,흐림
525,2020-07-25 12:00,23,27,흐림
526,2020-07-26 00:00,23,27,흐림
527,2020-07-26 12:00,23,27,흐림
528,2020-07-27 00:00,23,29,흐림
529,2020-07-27 12:00,23,29,흐리고 비
530,2020-07-28 00:00,25,28,흐리고 비
531,2020-07-29 00:00,24,29,흐리고 비
532,2020-07-30 00:00,25,30,흐림
